Total Error, action, LearnRate, InvestigationRate, Reward, Cache Size, High Error, Enhanced Count, Position of Low Error, Position of High Error, learn count
0.00871820876084519,1,0.01,90,1,0,0,10,0,0,323
0.349140016412426,1,0.01,90,0.33,0,0,10,0,0,324
0.00710009362626164,1,0.01,90,1,0,0,10,0,0,325
0.00634919660987626,1,0.01,90,1,0,0,10,0,0,326
0.00633471122093041,1,0.01,90,1,0,0,10,0,0,327
0.00632028912401689,1,0.01,90,1,0,0,10,0,0,328
0.00630592992607878,1,0.01,90,1,0,0,10,0,0,329
0.00629163323716042,1,0.01,90,1,0,0,10,0,0,330
0.00627739867037823,1,0.01,90,1,0,0,10,0,0,331
0.00626322584189162,1,0.01,90,1,0,0,10,0,0,332
0.00624911437087446,1,0.01,90,1,0,0,10,0,0,333
0.00623506387948662,1,0.01,90,1,0,0,10,0,0,334
0.00622107399284599,1,0.01,90,1,0,0,10,0,0,335
0.00620714433900071,1,0.01,90,1,0,0,10,0,0,336
0.00619327454890179,1,0.01,90,1,0,0,10,0,0,337
0.00617946425637589,1,0.01,90,1,0,0,10,0,0,338
0.349846159597118,1,0.01,90,0.33,0,0,10,0,0,339
0.00699363416895069,1,0.01,90,1,0,0,10,0,0,340
0.00625336529685229,1,0.01,90,1,0,0,10,0,0,341
0.00623929686435182,1,0.01,90,1,0,0,10,0,0,342
0.00622528914453101,1,0.01,90,1,0,0,10,0,0,343
0.00621134176460947,1,0.01,90,1,0,0,10,0,0,344
0.00619745435471736,1,0.01,90,1,0,0,10,0,0,345
0.00618362654786811,1,0.01,90,1,0,0,10,0,0,346
0.0061698579799314,1,0.01,90,1,0,0,10,0,0,347
0.349918239480188,1,0.01,90,0.33,0,0,10,0,0,348
0.343877166227997,1,0.01,90,0.33,0,0,10,0,0,349
0.00708615682409368,1,0.01,90,1,0,0,10,0,0,350
0.0677343672566385,0,0.01,90,0.66,0,0,10,0,0,351
0.00775589920545224,1,0.01,90,1,0,0,10,0,0,352
0.00639273884982405,1,0.01,90,1,0,0,10,0,0,353
0.00637806074558786,1,0.01,90,1,0,0,10,0,0,354
0.00636344714395681,1,0.01,90,1,0,0,10,0,0,355
0.00634889764222905,1,0.01,90,1,0,0,10,0,0,356
0.00633441184089599,1,0.01,90,1,0,0,10,0,0,357
0.00631998934361185,1,0.01,90,1,0,0,10,0,0,358
0.00630562975716391,1,0.01,90,1,0,0,10,0,0,359
0.00629133269144267,1,0.01,90,1,0,0,10,0,0,360
0.84782082291474,0,0.01,90,0,0,0,10,0,0,361
0.00886992500969103,1,0.01,90,1,0,0,10,0,0,362
0.00642805378829142,1,0.01,90,1,0,0,10,0,0,363
0.00641321994851191,1,0.01,90,1,0,0,10,0,0,364
0.00639845158380924,1,0.01,90,1,0,0,10,0,0,365
0.00638374828377126,1,0.01,90,1,0,0,10,0,0,366
0.00636910964125222,1,0.01,90,1,0,0,10,0,0,367
0.00635453525234162,1,0.01,90,1,0,0,10,0,0,368
0.00634002471633347,1,0.01,90,1,0,0,10,0,0,369
0.0678427975782159,0,0.01,90,0.66,0,0,10,0,0,370
0.00771505533466374,1,0.01,90,1,0,0,10,0,0,371
0.00635939371816051,1,0.01,90,1,0,0,10,0,0,372
0.00634486142465434,1,0.01,90,1,0,0,10,0,0,373
0.00633039272155189,1,0.01,90,1,0,0,10,0,0,374
0.00631598721340436,1,0.01,90,1,0,0,10,0,0,375
0.00630164450788725,1,0.01,90,1,0,0,10,0,0,376
0.348934876311545,1,0.01,90,0.33,0,0,10,0,0,377
0.00711934343400593,1,0.01,90,1,0,0,10,0,0,378
0.00637722930419332,1,0.01,90,1,0,0,10,0,0,379
0.00636261924299724,1,0.01,90,1,0,0,10,0,0,380
0.00634807325425361,1,0.01,90,1,0,0,10,0,0,381
0.0678165654286064,0,0.01,90,0.66,0,0,10,0,0,382
0.00771803011445774,1,0.01,90,1,0,0,10,0,0,383
0.00636746239998142,1,0.01,90,1,0,0,10,0,0,384
0.00635289469816536,1,0.01,90,1,0,0,10,0,0,385
0.00633839080442751,1,0.01,90,1,0,0,10,0,0,386
0.00632395032161989,1,0.01,90,1,0,0,10,0,0,387
0.00630957285573473,1,0.01,90,1,0,0,10,0,0,388
0.00629525801587448,1,0.01,90,1,0,0,10,0,0,389
0.00628100541422274,1,0.01,90,1,0,0,10,0,0,390
0.00626681466601483,1,0.01,90,1,0,0,10,0,0,391
0.00625268538950933,1,0.01,90,1,0,0,10,0,0,392
0.00623861720595951,1,0.01,90,1,0,0,10,0,0,393
0.0681751964754666,0,0.01,90,0.66,0,0,10,0,0,394
0.00761171995542611,1,0.01,90,1,0,0,10,0,0,395
0.00625783941935202,1,0.01,90,1,0,0,10,0,0,396
0.00624374849523723,1,0.01,90,1,0,0,10,0,0,397
0.00622971842778642,1,0.01,90,1,0,0,10,0,0,398
0.00621574884307392,1,0.01,90,1,0,0,10,0,0,399
0.00620183937009541,1,0.01,90,1,0,0,10,0,0,400
0.00618798964074045,1,0.01,90,1,0,0,10,0,0,401
0.00617419928976552,1,0.01,90,1,0,0,10,0,0,402
0.00616046795476737,1,0.01,90,1,0,0,10,0,0,403
0.00614679527615637,1,0.01,90,1,0,0,10,0,0,404
0.00613318089713044,1,0.01,90,1,0,0,10,0,0,405
0.00611962446364911,1,0.01,90,1,0,0,10,0,0,406
0.0061061256244079,1,0.01,90,1,0,0,10,0,0,407
0.00609268403081305,1,0.01,90,1,0,0,10,0,0,408
0.00607929933695633,1,0.01,90,1,0,0,10,0,0,409
0.00606597119959025,1,0.01,90,1,0,0,10,0,0,410
0.00605269927810365,1,0.01,90,1,0,0,10,0,0,411
0.00603948323449724,1,0.01,90,1,0,0,10,0,0,412
0.00602632273335964,1,0.01,90,1,0,0,10,0,0,413
0.00601321744184371,1,0.01,90,1,0,0,10,0,0,414
0.00600016702964284,1,0.01,90,1,0,0,10,0,0,415
0.0059871711689679,1,0.01,90,1,0,0,10,0,0,416
0.00597422953452402,1,0.01,90,1,0,0,10,0,0,417
0.00596134180348793,1,0.01,90,1,0,0,10,0,0,418
0.00594850765548541,1,0.01,90,1,0,0,10,0,0,419
0.00593572677256898,1,0.01,90,1,0,0,10,0,0,420
0.0059229988391958,1,0.01,90,1,0,0,10,0,0,421
0.00591032354220588,1,0.01,90,1,0,0,10,0,0,422
0.00589770057080043,1,0.01,90,1,0,0,10,0,0,423
0.00588512961652053,1,0.01,90,1,0,0,10,0,0,424
0.00587261037322603,1,0.01,90,1,0,0,10,0,0,425
0.00586014253707441,1,0.01,90,1,0,0,10,0,0,426
0.00584772580650028,1,0.01,90,1,0,0,10,0,0,427
0.0058353598821948,1,0.01,90,1,0,0,10,0,0,428
0.00582304446708537,1,0.01,90,1,0,0,10,0,0,429
0.069575421326543,0,0.01,90,0.66,0,0,10,0,0,430
0.0072163723736038,1,0.01,90,1,0,0,10,0,0,431
0.00584152019555022,1,0.01,90,1,0,0,10,0,0,432
0.0695118172422831,0,0.01,90,0.66,0,0,10,0,0,433
0.00722997221482672,1,0.01,90,1,0,0,10,0,0,434
0.00586003926334035,1,0.01,90,1,0,0,10,0,0,435
0.00584762215160683,1,0.01,90,1,0,0,10,0,0,436
0.00583525584795617,1,0.01,90,1,0,0,10,0,0,437
0.00582294005531099,1,0.01,90,1,0,0,10,0,0,438
0.00581067447881012,1,0.01,90,1,0,0,10,0,0,439
0.00579845882578866,1,0.01,90,1,0,0,10,0,0,440
0.00578629280575835,1,0.01,90,1,0,0,10,0,0,441
